StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260210,20260211,20260223,20260224,20260225,20260226,20260302,20260303,20260304,20260305,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
2454,聯發科,半導體業,DSL晶片組 無線網路IC 衛星導航晶片組 數據機晶片組 CPU IC設計 網路通訊IC 消費性IC 光碟機驅動IC LCD控制IC 影音IC 數位電視IC 手機晶片相關 手機零組件,13,-1.05%,-1.05%,0.00%,1838.205720797429,1800.0,-2.08%,-2.84%,-2.60%,-5.81%,,,,,,,,,,"Hits:12 | Rat:-2.0%
[SELL|Mix|WR81%|585J統一三重_DT_M, 9316華南淡水_ON_L]
[SELL|Mix|WR81%|8459康和嘉義_DT_M, 9316華南淡水_ON_L]
[SELL|Mix|WR81%|9316華南淡水_ON_L, 989Y元大基隆_DT_M]
[SELL|Mix|WR81%|5852統一敦南_DT_M, 9316華南淡水_ON_L]
[SELL|ON|WR75%|815B台新台中_ON_L, 9316華南淡水_ON_L]
[SELL|Mix|WR75%|703B致和崇德_DT_M, 9316華南淡水_ON_L]
[SELL|Mix|WR75%|9316華南淡水_ON_L, 9896元大台南_DT_M]
[SELL|Mix|WR72%|9266凱基新豐_DT_M, 9316華南淡水_ON_L]
[SELL|Mix|WR72%|9316華南淡水_ON_L, 983G元大上新_DT_M]
[SELL|Mix|WR72%|9316華南淡水_ON_L, 9A9D永豐忠孝_DT_M]
[SELL|Mix|WR72%|9316華南淡水_ON_L, 985C元大鳳中_DT_M]
[SELL|Mix|WR72%|700r兆豐寶成_DT_M, 9316華南淡水_ON_L]","Hits:1 | Rat:-0.2%
[SELL|ON|WR85%|5050大    展_ON_M, 9B2r元富城東_ON_L]",,"20260303: [SELL|Mix|WR81%|585J統一三重_DT_M, 9316華南淡水_ON_L]
20260303: [SELL|Mix|WR81%|8459康和嘉義_DT_M, 9316華南淡水_ON_L]
20260303: [SELL|Mix|WR81%|9316華南淡水_ON_L, 989Y元大基隆_DT_M]
20260303: [SELL|Mix|WR81%|5852統一敦南_DT_M, 9316華南淡水_ON_L]
20260303: [SELL|ON|WR75%|815B台新台中_ON_L, 9316華南淡水_ON_L]
20260303: [SELL|Mix|WR75%|703B致和崇德_DT_M, 9316華南淡水_ON_L]
20260303: [SELL|Mix|WR75%|9316華南淡水_ON_L, 9896元大台南_DT_M]
20260303: [SELL|Mix|WR72%|9266凱基新豐_DT_M, 9316華南淡水_ON_L]
20260303: [SELL|Mix|WR72%|9316華南淡水_ON_L, 983G元大上新_DT_M]
20260303: [SELL|Mix|WR72%|9316華南淡水_ON_L, 9A9D永豐忠孝_DT_M]
20260303: [SELL|Mix|WR72%|9316華南淡水_ON_L, 985C元大鳳中_DT_M]
20260303: [SELL|Mix|WR72%|700r兆豐寶成_DT_M, 9316華南淡水_ON_L]
20260304: [SELL|ON|WR85%|5050大    展_ON_M, 9B2r元富城東_ON_L]",11,15,0,0,0,12,14
2316,楠梓電,電子零組件,印刷電路板 印刷電路板相關 電子製造服務 電腦系統業,7,-4.92%,-0.70%,-4.22%,106.12540955383912,95.3,-10.20%,-5.81%,-5.51%,-12.13%,,,,,,,,"Hits:14 | Rat:2.2%
[BUY|Mix|WR81%|9316華南淡水_ON_L, 9693富邦新營_DT_M]
[BUY|Mix|WR81%|585J統一三重_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR81%|9316華南淡水_ON_L, 989Y元大基隆_DT_M]
[BUY|Mix|WR81%|5852統一敦南_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9j永豐嘉義_DT_M]
[BUY|Mix|WR75%|9316華南淡水_ON_L, 9386華南東昇_DT_M]
[BUY|Mix|WR72%|9266凱基新豐_DT_M, 9316華南淡水_ON_L]
[BUY|Mix|WR72%|913U群益崇德_DT_M, 9316華南淡水_ON_L]
[SELL|Mix|WR72%|9316華南淡水_ON_L, 9817元大東泰_DT_M]
[BUY|Mix|WR72%|9316華南淡水_ON_L, 983G元大上新_DT_M]
[BUY|Mix|WR72%|9316華南淡水_ON_L, 9A9D永豐忠孝_DT_M]
[BUY|Mix|WR72%|9316華南淡水_ON_L, 9A9Q永豐豐原_DT_M]
[SELL|Mix|WR72%|9316華南淡水_ON_L, 981z元大大統_DT_M]
[BUY|Mix|WR72%|9316華南淡水_ON_L, 985C元大鳳中_DT_M]",,"Hits:6 | Rat:-6.9%
[SELL|Mix|WR81%|9316華南淡水_ON_L, 9693富邦新營_DT_M]
[SELL|Mix|WR75%|9316華南淡水_ON_L, 9319華南鶯歌_DT_M]
[SELL|Mix|WR75%|9316華南淡水_ON_L, 9386華南東昇_DT_M]
[SELL|Mix|WR72%|9266凱基新豐_DT_M, 9316華南淡水_ON_L]
[SELL|Mix|WR72%|918s群益丹鳳_DT_M, 9316華南淡水_ON_L]
[SELL|Mix|WR72%|9316華南淡水_ON_L, 9A9Q永豐豐原_DT_M]",,"Hits:1 | Rat:0.1%
[BUY|Mix|WR75%|7792國票北投_DT_S, 9878元大金華_ON_L]","20260226: [BUY|Mix|WR81%|9316華南淡水_ON_L, 9693富邦新營_DT_M]
20260226: [BUY|Mix|WR81%|585J統一三重_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR81%|9316華南淡水_ON_L, 989Y元大基隆_DT_M]
20260226: [BUY|Mix|WR81%|5852統一敦南_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 9A9j永豐嘉義_DT_M]
20260226: [BUY|Mix|WR75%|9316華南淡水_ON_L, 9386華南東昇_DT_M]
20260226: [BUY|Mix|WR72%|9266凱基新豐_DT_M, 9316華南淡水_ON_L]
20260226: [BUY|Mix|WR72%|913U群益崇德_DT_M, 9316華南淡水_ON_L]
20260226: [SELL|Mix|WR72%|9316華南淡水_ON_L, 9817元大東泰_DT_M]
20260226: [BUY|Mix|WR72%|9316華南淡水_ON_L, 983G元大上新_DT_M]
20260226: [BUY|Mix|WR72%|9316華南淡水_ON_L, 9A9D永豐忠孝_DT_M]
20260226: [BUY|Mix|WR72%|9316華南淡水_ON_L, 9A9Q永豐豐原_DT_M]
20260226: [SELL|Mix|WR72%|9316華南淡水_ON_L, 981z元大大統_DT_M]
20260226: [BUY|Mix|WR72%|9316華南淡水_ON_L, 985C元大鳳中_DT_M]
20260303: [SELL|Mix|WR81%|9316華南淡水_ON_L, 9693富邦新營_DT_M]
20260303: [SELL|Mix|WR75%|9316華南淡水_ON_L, 9319華南鶯歌_DT_M]
20260303: [SELL|Mix|WR75%|9316華南淡水_ON_L, 9386華南東昇_DT_M]
20260303: [SELL|Mix|WR72%|9266凱基新豐_DT_M, 9316華南淡水_ON_L]
20260303: [SELL|Mix|WR72%|918s群益丹鳳_DT_M, 9316華南淡水_ON_L]
20260303: [SELL|Mix|WR72%|9316華南淡水_ON_L, 9A9Q永豐豐原_DT_M]
20260305: [BUY|Mix|WR75%|7792國票北投_DT_S, 9878元大金華_ON_L]",7,7,0,0,1,6,7
2338,光罩,半導體業,光罩 IC製造,3,0.14%,0.11%,0.03%,50.513533948426776,53.5,5.91%,-4.82%,-2.86%,-8.61%,,,,"Hits:1 | Rat:1.2%
[BUY|Mix|WR72%|526A美好中和_SW_XS, 9B2n元富西松_DT_L]",,,,,"Hits:1 | Rat:-0.1%
[SELL|Mix|WR72%|989Z元大小港_SW_L, 9B2S元富基隆_DT_S]","Hits:1 | Rat:-0.0%
[SELL|Mix|WR72%|779E國票南崁_SW_M, 9B2H元富信義_ON_L]","Hits:2 | Rat:1.1%
[BUY|Mix|WR72%|8710陽   信_DT_M, 9B2w元富佳里_SW_L]
[BUY|Mix|WR72%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]",,"20260211: [BUY|Mix|WR72%|526A美好中和_SW_XS, 9B2n元富西松_DT_L]
20260302: [SELL|Mix|WR72%|989Z元大小港_SW_L, 9B2S元富基隆_DT_S]
20260303: [SELL|Mix|WR72%|779E國票南崁_SW_M, 9B2H元富信義_ON_L]
20260304: [BUY|Mix|WR72%|8710陽   信_DT_M, 9B2w元富佳里_SW_L]
20260304: [BUY|Mix|WR72%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]",2,1,3,0,0,2,4
8210,勤誠,電腦及週邊設備業,機殼 電子零件元件,2,4.68%,4.68%,0.00%,884.2731169359525,950.0,7.43%,4.05%,4.05%,-2.85%,,,,,,,,,,,"Hits:2 | Rat:4.7%
[BUY|Mix|WR75%|8587聯邦興中_DT_M, 9B2n元富西松_ON_S]
[BUY|Mix|WR72%|918E群益南京_SW_S, 9352華南桃園_DT_L]",,"20260304: [BUY|Mix|WR75%|8587聯邦興中_DT_M, 9B2n元富西松_ON_S]
20260304: [BUY|Mix|WR72%|918E群益南京_SW_S, 9352華南桃園_DT_L]",2,1,1,0,2,1,1
2313,華通,電子零組件,軟板 印刷電路板 印刷電路板相關,1,-0.06%,-0.08%,0.01%,212.0502757434843,228.5,7.76%,0.22%,-6.80%,-18.42%,,,"Hits:1 | Rat:-0.1%
[SELL|ON|WR76%|585b統一內湖_ON_L, 9B22元富新店_ON_M]",,,,,,,,"Hits:1 | Rat:-0.1%
[SELL|Mix|WR72%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]",,"20260210: [SELL|ON|WR76%|585b統一內湖_ON_L, 9B22元富新店_ON_M]
20260304: [SELL|Mix|WR72%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]",1,0,1,0,0,0,2
3576,聯合再生,光電業,太陽能 太陽能電池 太陽能電池模組 太陽能系統運用,1,0.07%,-0.05%,0.12%,21.64162799436355,25.2,16.44%,-8.33%,-17.06%,,,,"Hits:1 | Rat:-0.1%
[SELL|Mix|WR71%|6915德信和平_DT_S, 9B2G元富新竹_ON_S]",,,,,,"Hits:1 | Rat:-0.2%
[SELL|Mix|WR71%|884M玉山數位_ON_S, 9B2a元富松德_DT_L]",,,"Hits:1 | Rat:0.1%
[BUY|Mix|WR75%|9204凱基台中_ON_S, 9B29元富台南_SW_M]","20260210: [SELL|Mix|WR71%|6915德信和平_DT_S, 9B2G元富新竹_ON_S]
20260302: [SELL|Mix|WR71%|884M玉山數位_ON_S, 9B2a元富松德_DT_L]
20260305: [BUY|Mix|WR75%|9204凱基台中_ON_S, 9B29元富台南_SW_M]",0,1,1,0,1,1,0
3450,聯鈞,半導體業,IC封裝 IC測試 IC封裝測試,1,0.03%,-0.37%,0.41%,251.5580278571564,324.0,28.80%,-1.67%,-11.08%,-22.61%,,,"Hits:1 | Rat:0.1%
[BUY|Mix|WR71%|884M玉山數位_ON_S, 9B2a元富松德_DT_L]","Hits:1 | Rat:6.0%
[BUY|Mix|WR75%|961R富邦南員_ON_S, 981a元大歸仁_DT_L]","Hits:2 | Rat:-3.2%
[SELL|Mix|WR75%|961R富邦南員_ON_S, 981a元大歸仁_DT_L]
[SELL|DT|WR75%|8456康和新竹_DT_L, 9B2l元富大裕_DT_M]",,,,,,"Hits:1 | Rat:0.0%
[BUY|Mix|WR75%|9204凱基台中_ON_S, 9B29元富台南_SW_M]",,"20260210: [BUY|Mix|WR71%|884M玉山數位_ON_S, 9B2a元富松德_DT_L]
20260211: [BUY|Mix|WR75%|961R富邦南員_ON_S, 981a元大歸仁_DT_L]
20260223: [SELL|Mix|WR75%|961R富邦南員_ON_S, 981a元大歸仁_DT_L]
20260223: [SELL|DT|WR75%|8456康和新竹_DT_L, 9B2l元富大裕_DT_M]
20260304: [BUY|Mix|WR75%|9204凱基台中_ON_S, 9B29元富台南_SW_M]",0,1,1,0,1,1,0
3049,精金,光電業,面板業 觸控面板,1,0.52%,-0.21%,0.73%,11.241376344160644,13.5,20.09%,9.63%,8.89%,,,,,,,,"Hits:1 | Rat:-0.3%
[SELL|Mix|WR81%|9266凱基新豐_ON_M, 9B2P元富同大_DT_XS]","Hits:9 | Rat:-3.0%
[SELL|Mix|WR90%|8565新光桃園_DT_S, 9B28元富新莊_SW_L]
[BUY|Mix|WR81%|9853元大南屯_DT_S, 9B28元富新莊_SW_L]
[SELL|Mix|WR81%|104C臺銀高雄_DT_S, 9B28元富新莊_SW_L]
[SELL|Mix|WR75%|9898元大新莊_DT_S, 9B28元富新莊_SW_L]
[SELL|Mix|WR75%|815A台新高雄_DT_S, 9B28元富新莊_SW_L]
[BUY|Mix|WR72%|9A9h永豐台南_DT_S, 9B28元富新莊_SW_L]
[SELL|Mix|WR72%|538W第一華江_DT_S, 9B28元富新莊_SW_L]
[SELL|Mix|WR72%|9A61永豐鳳山_DT_S, 9B28元富新莊_SW_L]
[SELL|Mix|WR71%|888K國泰板橋_DT_S, 9B28元富新莊_SW_L]","Hits:1 | Rat:0.2%
[BUY|ON|WR72%|9875元大永寧_ON_L, 9B2H元富信義_ON_L]",,,"Hits:1 | Rat:0.5%
[BUY|Mix|WR72%|9A9P永豐竹北_SW_M, 9B2M元富彰化_ON_XS]","20260225: [SELL|Mix|WR81%|9266凱基新豐_ON_M, 9B2P元富同大_DT_XS]
20260226: [SELL|Mix|WR90%|8565新光桃園_DT_S, 9B28元富新莊_SW_L]
20260226: [BUY|Mix|WR81%|9853元大南屯_DT_S, 9B28元富新莊_SW_L]
20260226: [SELL|Mix|WR81%|104C臺銀高雄_DT_S, 9B28元富新莊_SW_L]
20260226: [SELL|Mix|WR75%|9898元大新莊_DT_S, 9B28元富新莊_SW_L]
20260226: [SELL|Mix|WR75%|815A台新高雄_DT_S, 9B28元富新莊_SW_L]
20260226: [BUY|Mix|WR72%|9A9h永豐台南_DT_S, 9B28元富新莊_SW_L]
20260226: [SELL|Mix|WR72%|538W第一華江_DT_S, 9B28元富新莊_SW_L]
20260226: [SELL|Mix|WR72%|9A61永豐鳳山_DT_S, 9B28元富新莊_SW_L]
20260226: [SELL|Mix|WR71%|888K國泰板橋_DT_S, 9B28元富新莊_SW_L]
20260302: [BUY|ON|WR72%|9875元大永寧_ON_L, 9B2H元富信義_ON_L]
20260305: [BUY|Mix|WR72%|9A9P永豐竹北_SW_M, 9B2M元富彰化_ON_XS]",0,1,1,1,0,1,0
3019,亞光,光電業,傳產其他 光學 影像感測元件 數位相機 數位相機組裝 光學鏡片/頭,1,0.36%,0.06%,0.30%,140.55357142857142,138.5,-1.46%,-2.46%,-4.58%,-12.68%,,,"Hits:1 | Rat:-0.1%
[SELL|ON|WR81%|8710陽   信_ON_S, 9B2o元富新興_ON_M]",,,,,,,,"Hits:1 | Rat:0.4%
[BUY|Mix|WR75%|700P兆豐南京_SW_L, 9B2S元富基隆_DT_M]",,"20260210: [SELL|ON|WR81%|8710陽   信_ON_S, 9B2o元富新興_ON_M]
20260304: [BUY|Mix|WR75%|700P兆豐南京_SW_L, 9B2S元富基隆_DT_M]",1,0,1,0,0,1,1
2337,旺宏,半導體業,非揮發性記憶體 IC生產 IC製造,1,0.30%,0.30%,0.00%,111.02811958839486,107.5,-3.18%,-12.34%,-8.51%,-5.96%,,,,,,,"Hits:1 | Rat:0.3%
[BUY|Mix|WR72%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]",,,"Hits:1 | Rat:0.3%
[BUY|Mix|WR75%|700P兆豐南京_SW_L, 9B2S元富基隆_DT_M]",,,"20260225: [BUY|Mix|WR72%|9300華南永昌_DT_L, 9B2w元富佳里_SW_L]
20260303: [BUY|Mix|WR75%|700P兆豐南京_SW_L, 9B2S元富基隆_DT_M]",1,0,1,0,0,1,1
