StockCode,StockName,Industry,細產業,Total_Hits,Avg_Net_Ratio,Ratio_10D,Ratio_Diff,Avg_Cost,End_Close,Cost_Spread,Avg_Ret_1D,Avg_Ret_2D,Avg_Ret_3D,Avg_Ret_5D,Avg_Ret_10D,20260226,20260302,20260303,20260304,20260305,20260306,20260309,20260310,20260311,20260312,Detailed_Info,Style_DT,Style_ON,Style_SW,Size_XS,Size_S,Size_M,Size_L
3049,精金,光電業,面板業 觸控面板,2,-0.23%,0.08%,-0.31%,12.116024744285996,13.55,11.84%,-1.81%,,,,,"Hits:1 | Rat:-0.8%
[SELL|Mix|WR72%|9898元大新莊_DT_S, 9B28元富新莊_SW_L]","Hits:1 | Rat:0.2%
[BUY|ON|WR72%|9875元大永寧_ON_L, 9B2H元富信義_ON_L]",,,"Hits:1 | Rat:0.5%
[BUY|Mix|WR72%|9A9P永豐竹北_SW_M, 9B2M元富彰化_ON_XS]",,,,"Hits:1 | Rat:-0.2%
[SELL|Mix|WR72%|7033致和府前_DT_XS, 9B2q元富屏東_ON_S]","Hits:1 | Rat:-0.3%
[SELL|Mix|WR72%|7033致和府前_DT_XS, 9B2q元富屏東_ON_S]","20260226: [SELL|Mix|WR72%|9898元大新莊_DT_S, 9B28元富新莊_SW_L]
20260302: [BUY|ON|WR72%|9875元大永寧_ON_L, 9B2H元富信義_ON_L]
20260305: [BUY|Mix|WR72%|9A9P永豐竹北_SW_M, 9B2M元富彰化_ON_XS]
20260311: [SELL|Mix|WR72%|7033致和府前_DT_XS, 9B2q元富屏東_ON_S]
20260312: [SELL|Mix|WR72%|7033致和府前_DT_XS, 9B2q元富屏東_ON_S]",2,2,0,2,2,0,0
2312,金寶,其他電子業,車用電子 桌上型電腦 筆記型電腦製造 通訊設備 手機 手機製造 視訊轉換相關 消費性電子產品 週邊產品 印表機 3D印表機 硬碟相關 POS機系統 穿戴式裝置 電子製造服務 電腦系統業 家電,2,0.10%,0.10%,0.00%,23.933333333333334,23.95,0.07%,-0.83%,,,,,,,,,,,,,"Hits:2 | Rat:0.1%
[BUY|Mix|WR75%|1022合庫台南_DT_M, 9B23元富三重_ON_XS]
[BUY|Mix|WR72%|9134群益開元_DT_M, 9B23元富三重_ON_XS]",,"20260311: [BUY|Mix|WR75%|1022合庫台南_DT_M, 9B23元富三重_ON_XS]
20260311: [BUY|Mix|WR72%|9134群益開元_DT_M, 9B23元富三重_ON_XS]",2,2,0,2,0,2,0
2337,旺宏,半導體業,非揮發性記憶體 IC生產 IC製造,1,0.01%,0.14%,-0.13%,107.84333924772471,109.0,1.07%,,,,,,,,"Hits:1 | Rat:0.3%
[BUY|Mix|WR81%|700P兆豐南京_SW_L, 9B2S元富基隆_DT_M]",,,,,,,"Hits:1 | Rat:0.0%
[BUY|Mix|WR72%|9257凱基林口_DT_M, 9B2w元富佳里_SW_L]","20260303: [BUY|Mix|WR81%|700P兆豐南京_SW_L, 9B2S元富基隆_DT_M]
20260312: [BUY|Mix|WR72%|9257凱基林口_DT_M, 9B2w元富佳里_SW_L]",1,0,1,0,0,1,1
00642U,期元大S&P石油,-,,1,0.76%,0.76%,0.00%,22.38144187433722,25.62,14.47%,-5.54%,6.75%,,,,,,,,,,,"Hits:1 | Rat:0.8%
[BUY|Mix|WR76%|8583聯邦忠孝_ON_S, 9B2z元富文心_SW_M]",,,"20260310: [BUY|Mix|WR76%|8583聯邦忠孝_ON_S, 9B2z元富文心_SW_M]",0,1,1,0,1,1,0
3535,晶彩科,光電業,設備儀器廠商 面板設備,1,0.37%,0.22%,0.15%,137.19135802469137,131.5,-4.15%,-5.48%,-9.93%,,,,,,,,"Hits:1 | Rat:-0.0%
[SELL|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]","Hits:1 | Rat:0.2%
[BUY|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]",,"Hits:1 | Rat:0.4%
[BUY|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]",,,"20260305: [SELL|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
20260306: [BUY|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]
20260310: [BUY|Mix|WR72%|918i群益竹南_SW_L, 9B2S元富基隆_DT_M]",1,0,1,0,0,1,1
2408,南亞科,半導體業,DRAM IC生產 IC製造,1,0.49%,0.49%,0.00%,220.04676584637204,261.5,18.84%,9.96%,13.20%,,,,,,,,,,,"Hits:1 | Rat:0.5%
[BUY|DT|WR72%|8456康和新竹_DT_L, 9B27元富林園_DT_M]",,,"20260310: [BUY|DT|WR72%|8456康和新竹_DT_L, 9B27元富林園_DT_M]",2,0,0,0,0,1,1
6152,百一,通訊網路業,通訊設備 低雜訊降頻器 視訊轉換相關 消費性電子產品,1,1.09%,1.09%,0.00%,18.70625,20.65,10.39%,-2.50%,3.25%,,,,,,,,,,,"Hits:1 | Rat:1.1%
[BUY|Mix|WR81%|918E群益南京_DT_M, 9B23元富三重_ON_XS]",,,"20260310: [BUY|Mix|WR81%|918E群益南京_DT_M, 9B23元富三重_ON_XS]",1,1,0,1,0,1,0
1513,中興電,電機機械,其他公用事業 停車場 電機 重型電氣設備 輸配電設備 電氣開關設備 電氣自控設備 配電工程 空調製冷 機械 電力設備,1,-0.09%,-0.09%,0.00%,155.09716403480502,159.5,2.84%,0.63%,,,,,,,,,,,,,"Hits:1 | Rat:-0.1%
[SELL|Mix|WR72%|9A9P永豐竹北_SW_M, 9B2M元富彰化_ON_XS]",,"20260311: [SELL|Mix|WR72%|9A9P永豐竹北_SW_M, 9B2M元富彰化_ON_XS]",0,1,1,1,0,1,0
2429,銘旺科,光電業,面板零組件 玻璃基板加工,1,0.93%,0.93%,0.00%,48.4,50.1,3.51%,1.21%,,,,,,,,,,,,,"Hits:1 | Rat:0.9%
[BUY|SW|WR75%|982A元大羅東_SW_M, 9B2n元富西松_SW_XS]",,"20260311: [BUY|SW|WR75%|982A元大羅東_SW_M, 9B2n元富西松_SW_XS]",0,0,2,1,0,1,0
4958,臻鼎-KY,電子零組件,軟板 印刷電路板 印刷電路板相關,1,-0.28%,-0.28%,0.00%,172.46994535519124,178.0,3.21%,0.85%,,,,,,,,,,,,,"Hits:1 | Rat:-0.3%
[SELL|ON|WR72%|9614富邦基隆_ON_S, 9B2w元富佳里_ON_S]",,"20260311: [SELL|ON|WR72%|9614富邦基隆_ON_S, 9B2w元富佳里_ON_S]",0,2,0,0,2,0,0
